20, 0, 1.5579454625034739
20, 10, 1.6456083018539565
20, 20, 1.7021373852319308
20, 30, 1.4371430386539854
20, 40, 1.1905999020961957
20, 50, 1.1754393181105072
20, 60, 0.9676624060389081
30, 0, 2.1885888100553696
30, 10, 2.128793769341387
30, 20, 2.0557360925714536
30, 30, 1.8482868102385914
30, 40, 1.6295606034673293
30, 50, 1.4540197852599812
30, 60, 1.1895541212326641
50, 0, 1.7425996044451257
50, 10, 1.7069204792651576
50, 20, 1.4342129635634693
50, 30, 1.4566655937985602
50, 40, 1.2374842137194564
50, 50, 1.1809896108244204
50, 60, 0.9280275762381395
100, 0, 0.8944547337928115
100, 10, 0.8580104190237179
100, 20, 0.8082458216056045
100, 30, 0.7373796788813632
100, 40, 0.5896596409716086
100, 50, 0.5967613247594137
100, 60, 0.5232359986392423
